remainingtime, autonomousrobot, alarm, robotx, roboty, robotangle, treesstate, batterylevel, temperature, waterlevel, groundtankwaterlevel, leaksnumber, usedkeys, clicks, others, keyboardshortcuts 
600, 0, -1, 0.00003519061647239141, -0.00012702596723102033, 0.0000961765181273222, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, 100, 10, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
599, 0, -1, 0.000032895946787903085, -0.00012204992526676506, 0.000019631770555861294, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, 100, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
598, 0, -1, 0.00003220848157070577, -0.00011710642866091803, -0.00005638109360006638, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, 99, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
597, 0, -1, 0.000027965405024588108, -0.00011216827988391742, -0.0001324175245827064, fals0.0fals0.0fals0.0fals0.0tru0.0fals0.0fals0.0fals0.0false, 99, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
596, 0, -1, 0.00002318455881322734, -0.00010723472223617136, -0.00020836743351537734, fals0.0fals0.0fals0.0fals0.0tru0.0fals0.0fals0.0fals0.0false, 98, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, minus, -1, -1
595, 0, -1, 0.000024612663764855824, -0.00010230241605313495, -0.0002842932881321758, fals0.0fals0.0fals0.0fals0.0tru0.0fals0.0fals0.0fals0.0false, 98, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
594, 0, -1, 0.000029952363547636196, -0.00009736602805787697, -0.00036031799390912056, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 97, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, minus, -1, -1
593, 0, -1, 0.00003435838152654469, -0.00009242562373401597, -0.00043631120934151113, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 97, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, minus-minus, -1, -1
592, 0, 5, 0.000038501795643242076, -0.00008748973050387576, -0.0005123038426972926, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 96, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
591, 0, -1, 0.000042283409129595384, -0.00008255131979240105, -0.0005882621626369655, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 96, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, plus, otherClick-otherClick, -1
590, 0, -1, 0.00004531814556685276, -0.00007762887253193185, -0.000664157560095191, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 95, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
589, 0, -1, 0.0000502683651575353, -0.0000726915241102688, -0.000740094343200326, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 95, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
588, 0, -1, 0.000053707335609942675, -0.00006777383532607928, -0.0008159865392372012, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 94, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, removeAlarm, otherClick, -1
587, 0, -1, 0.00005526951281353831, -0.00006284454138949513, -0.0008918089442886412, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 94, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
586, 0, -1, 0.00006005738032399677, -0.000057918092352338135, -0.0009677024791017175, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 93, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
585, 0, -1, 0.00006291014142334461, -0.00005300896009430289, -0.0010433609131723642, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 93, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
584, 0, -1, 0.00006674332689726725, -0.000048246391088468954, -0.001117170206271112, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 92, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
583, 0, -1, 0.00006873423262732103, -0.00004362517211120576, -0.0011937081580981612, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 92, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
582, 0, -1, 0.00007195235957624391, -0.00003891398591804318, -0.0012704335385933518, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 91, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, -1, -1
581, 0, -1, 0.00007097463094396517, -0.000034208693250548095, -0.0013470450649037957, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 91, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0false, -1, -1, otherClick, -1
580, 0, -1, 0.00006408166518667713, -0.000029512248147511855, -0.001423548092134297, fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 90, 50, 50, 50, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0fals0.0false, -1, -1, otherClick, -1
579, 0, -1, 0.00006560426118085161, -0.00002478012174833566, -0.0014979084953665733, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 90, 50, 50, 49.44444444444443, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0fals0.0false, -1, -1, otherClick, -1
578, 0, -1, 0.00006736142677254975, -0.00002013539597101044, -0.0015707784332334995, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 89, 50, 50, 48.88888888888886, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0fals0.0false, -1, -1, otherClick-otherClick, -1
577, 0, -1, 0.00006921264139236882, -0.000015358000382548198, -0.0016453928546980023, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0false, 89, 50, 50, 48.333333333333286, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0fals0.0false, -1, -1, otherClick, -1
576, 0, -1, 0.00007091843872331083, -0.000013572884199675173, -0.0016740374267101288, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0true, 88, 50, 50, 47.777777777777715, fals0.0fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0fals0.0false, -1, -1, -1, -1
575, 0, -1, 0.00007407995872199535, -0.000014537461538566276, -0.0016423905035480857, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0true, 88, 50, 50, 47.22222222222214, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0false, -1, -1, -1, -1
574, 0, -1, 0.00005854465416632593, -0.00001452507967769634, -0.0016424587229266763, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0true, 87, 50, 50, 46.111111111111036, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0false, -1, -1, -1, -1
573, 0, -1, 0.0000548810712643899, -0.000015102945326361805, -0.0016414111014455557, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0true, 87, 50, 50, 44.99999999999993, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0false, -1, -1, -1, -1
572, 0, -1, 0.00005290222179610282, -0.000015093052752490621, -0.0016416441649198532, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0true, 86, 50, 50, 43.88888888888882, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0false, -1, -1, -1, -1
571, 0, -1, 0.000052860348660033196, -0.000015084919141372666, -0.0016418785089626908, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0true, 86, 50, 50, 42.777777777777715, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0false, -1, -1, -1, -1
570, 1, -1, 0.00005272427370073274, -0.000015072155292727984, -0.0016421108739450574, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0true, 85, 50, 50, 41.66666666666661, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0false, -1, -1, -1, -1
569, 1, -1, 0.00005272427370073274, -0.000015072155292727984, -0.0016421108739450574, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0true, 85, 50, 50, 40.5555555555555, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0false, -1, -1, -1, -1
568, 1, -1, -0.0001720853615552187, 0.0004940450307913125, 0.46066609025001526, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0fals0.0fals0.0true, 84, 50, 50, 39.44444444444439, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0false, -1, -1, -1, -1
567, 1, -1, -0.0002910706680268049, 0.0002542723959777504, 0.9886949062347412, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0tru0.0fals0.0true, 84, 50, 50, 38.333333333333286, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0false, -1, -1, -1, -1
566, 1, -1, -0.0010868881363421679, 0.0006539802998304367, 1.5027587413787842, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0tru0.0fals0.0true, 83, 50, 50, 37.22222222222218, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0fals0.0false, -1, -1, -1, -1
565, 1, -1, -0.042731691151857376, 0.1330467313528061, 1.882144570350647, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0tru0.0fals0.0true, 83, 50, 50, 36.11111111111107, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
564, 1, -1, -0.5999852418899536, 1.7056910991668701, 1.9142634868621826, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0tru0.0fals0.0true, 82, 50, 50, 34.44444444444439, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
563, 1, -1, -1.0868860483169556, 3.040529251098633, 1.9230090379714966, tru0.0fals0.0fals0.0tru0.0tru0.0fals0.0tru0.0fals0.0true, 82, 50, 50, 32.777777777777715, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
562, 1, -1, -1.4545915126800537, 4.015391826629639, 1.938633680343628, tru0.0fals0.0fals0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 81, 50, 40, 31.111111111111047, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
561, 1, -1, -1.7306278944015503, 4.726483345031738, 1.9435298442840576, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 81, 50, 40, 29.444444444444386, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
560, 0, -1, -0.9400473237037659, 2.7084782123565674, 1.9453527927398682, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 80, 50, 40, 27.777777777777725, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
559, 0, -1, -0.8824380040168762, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 80, 50, 40, 26.111111111111065, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
558, 0, -1, -0.8824344277381897, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 79, 50, 40, 24.444444444444404, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
557, 0, -1, -0.8824308514595032, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 79, 50, 40, 22.777777777777743, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
556, 0, -1, -0.8824272751808167, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 78, 50, 40, 21.111111111111082, fals0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
555, 0, -1, -0.8824256658554077, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 78, 50, 40, 19.44444444444442, tru0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
554, 0, -1, -0.8824256658554077, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 77, 50, 40, 17.222222222222207, tru0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
553, 0, -1, -0.8824256658554077, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 77, 50, 40, 14.999999999999988, tru0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
552, 0, -1, -0.8824256658554077, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 76, 50, 40, 12.777777777777764, tru0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
551, 0, -1, -0.8824256658554077, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 76, 50, 40, 10.555555555555541, tru0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
550, 0, -1, -0.8824256658554077, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 75, 50, 40, 8.333333333333318, tru0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
549, 0, -1, -0.8824256658554077, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 75, 50, 40, 6.111111111111095, tru0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
548, 0, -1, -0.8824256658554077, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 74, 50, 40, 3.8888888888888715, tru0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
547, 0, -1, -0.8824256658554077, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 74, 50, 40, 1.6666666666666485, tru0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
546, 0, -1, -0.8824256658554077, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 73, 50, 40, 0.7777777777777597, tru0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
545, 0, -1, -0.8824256658554077, 2.561890125274658, 1.9437873363494873, tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0tru0.0fals0.0true, 73, 50, 40, 0.7777777777777597, tru0.0fals0.0fals0.0fals0.0fals0.0tru0.0tru0.0tru0.0false, -1, -1, -1, -1
